ID;Seção;Ordem;Pergunta;Tipo no Forms;Obrigatória;Opções / escala;Limite / instrução;Lógica de navegação;Texto de apoio;Objetivo de pesquisa;Tag de análise;Status
Q01;Antes de começar;1;Você leu as informações acima e aceita participar desta pesquisa?;Escolha única;Sim;Sim, quero participar|Não quero participar;Escolha uma opção;Se Não quero participar, encerrar formulário;Participar é voluntário. Você pode parar ou pular perguntas opcionais a qualquer momento.;Registrar consentimento livre;consentimento;Proposta para aprovação
Q02;Antes de começar;2;Você tem 18 anos ou mais?;Escolha única;Sim;Sim|Não;Escolha uma opção;Se Não, encerrar formulário;A pesquisa é exclusiva para pessoas adultas.;Confirmar elegibilidade;triagem;Proposta para aprovação
Q03;Sobre vocês;3;Qual é o seu código de participante?;Resposta curta;Sim;;Usar o código fornecido pela pesquisa. Não informar nome, e-mail ou telefone;;Exemplo: C03-A.;Relacionar respostas do casal sem identificar pessoas;perfil;Proposta para aprovação
Q04;Sobre vocês;4;Há quanto tempo vocês estão juntos?;Escolha única;Sim;De 6 meses a 2 anos|De 3 a 5 anos|De 6 a 10 anos|Mais de 10 anos;Escolha uma opção;;;Segmentar por duração do relacionamento;perfil;Proposta para aprovação
Q05;Sobre vocês;5;Quais situações fazem parte da vida de vocês hoje?;Caixas de seleção;Sim;Moramos juntos|Não moramos juntos|Vivemos um relacionamento à distância|Temos filhos|Cuidamos regularmente de outras pessoas|Estamos passando por uma grande mudança|Nenhuma dessas;Marcar todas as aplicáveis;;;Contextualizar rotina e fase de vida;perfil;Proposta para aprovação
Q06;Conexão no dia a dia;6;Nos últimos 7 dias, quantas vezes vocês tiveram um momento de qualidade a dois, mesmo que curto?;Escolha única;Sim;Nenhuma|1 vez|2 ou 3 vezes|4 vezes ou mais|Não sei dizer;Escolha uma opção;Não usar como avaliação da qualidade da relação;Considere um momento com atenção e presença, não apenas estar no mesmo lugar.;Estimar frequência recente de conexão;hábito;Proposta para aprovação
Q07;Conexão no dia a dia;7;Pense no último momento em que você se sentiu realmente conectado(a) à pessoa parceira. O que vocês estavam fazendo?;Resposta longa;Sim;;Responder em 1 ou 2 frases. Não incluir nomes ou detalhes de terceiros;;Pode ser algo simples e cotidiano.;Capturar episódio real e ocasião de uso;episódio;Proposta para aprovação
Q08;Conexão no dia a dia;8;O que mais ajudou naquele momento?;Caixas de seleção;Sim;Tempo sem pressa|Conversa boa|Risos e leveza|Carinho ou toque|Fazer algo novo|Resolver algo juntos|Sentir-se ouvido(a)|Outro;Escolher até 3 opções;;;Identificar gatilhos de conexão;motivador;Proposta para aprovação
Q09;Conexão no dia a dia;9;Hoje, o que mais atrapalha vocês a criarem esses momentos?;Escolha única;Sim;Falta de tempo|Cansaço|Celular ou outras telas|Rotina repetitiva|Dificuldade para começar uma conversa|Horários diferentes ou distância|Tensão ou assuntos pendentes|Nada atrapalha muito|Outro;Escolha a principal opção;;;Priorizar barreira dominante;barreira;Proposta para aprovação
Q10;Experiências atuais;10;Vocês já usaram jogos de perguntas, baralhos, vídeos ou aplicativos para fazer algo a dois?;Escolha única;Sim;Sim, usamos atualmente|Sim, mas paramos|Experimentamos uma ou duas vezes|Nunca usamos;Escolha uma opção;Se Nunca usamos, pular Q11 e seguir para Q12;;Mapear familiaridade e abandono;alternativas;Proposta para aprovação
Q11;Experiências atuais;11;Pensando na experiência mais recente, o que funcionou bem e o que cansou ou incomodou?;Resposta longa;Não;;Responder em até 3 frases;Exibir somente se Q10 for diferente de Nunca usamos;Evite informar o nome do produto se preferir.;Entender atrativos e motivos de abandono;alternativas;Proposta para aprovação
